character,degree_full,weighted_degree_full,betweenness_full,closeness_full,pagerank_full,eigenvector_full,degree_no_central,weighted_degree_no_central,betweenness_no_central,closeness_no_central,pagerank_no_central,eigenvector_no_central,degree_rank_full,degree_rank_no_central,degree_rank_change,betweenness_rank_full,betweenness_rank_no_central,betweenness_rank_change,pagerank_rank_full,pagerank_rank_no_central,pagerank_rank_change,eigenvector_rank_full,eigenvector_rank_no_central,eigenvector_rank_change
Bud Armstrong,0.009708737864077669,0.017543859649122806,0.0,0.15012806003931145,0.00510993210407131,0.0006269472191842516,0.00980392156862745,0.022222222222222223,0.0,0.1289059793528719,0.005652714377134802,0.0007769261303163411,53.0,51.0,2.0,44.0,40.0,4.0,58.0,56.0,2.0,67.0,52.0,15.0
Buzz Aldrin,0.009708737864077669,0.017543859649122806,0.0,0.16818469956294,0.005547243031862717,0.0006177890019151663,0.00980392156862745,0.022222222222222223,0.0,0.0130718954248366,0.010628372271175758,6.768914566944282e-16,53.0,51.0,2.0,44.0,40.0,4.0,52.0,30.0,22.0,68.0,64.0,4.0
Chuck Berger,0.20388349514563106,0.8596491228070176,0.07577038709962756,0.2780781112091792,0.06818165821315852,0.5009220804223584,0.19607843137254902,1.0,0.08738332516725061,0.24986569970453934,0.07542543108817161,0.5454150691354955,2.0,1.0,1.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0
Gene Belcher,0.029126213592233007,0.05263157894736842,0.01332571863696935,0.17927380063302395,0.012762760238344075,0.0008227788552793423,0.029411764705882353,0.06666666666666667,0.011648223645894,0.12755381873028931,0.015424789874634975,0.0003243871560339592,29.0,26.0,3.0,23.0,19.0,4.0,17.0,16.0,1.0,64.0,54.0,10.0
Jasper Beardsley,0.2815533980582524,1.0,0.20583797165036458,0.315753210147197,0.09964099765353032,0.369941789351412,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.0,-67.0,1.0,40.0,-39.0,1.0,104.0,-103.0,4.0,104.0,-100.0
Kumiko Albertson,0.19417475728155337,0.5614035087719298,0.08923556428553575,0.27966712898751733,0.054469316393439174,0.20956230972167394,0.18627450980392157,0.5777777777777777,0.08791157827267322,0.2384339356657696,0.055769684621843355,0.11826680807172991,3.0,2.0,1.0,2.0,2.0,0.0,3.0,2.0,1.0,6.0,9.0,-3.0
Linda Belcher,0.029126213592233007,0.05263157894736842,0.01332571863696935,0.17927380063302395,0.012762760238344075,0.0008227788552793423,0.029411764705882353,0.06666666666666667,0.011648223645894,0.12755381873028931,0.015424789874634975,0.0003243871560339592,29.0,26.0,3.0,23.0,19.0,4.0,17.0,16.0,1.0,64.0,54.0,10.0
Louise Belcher,0.009708737864077669,0.017543859649122806,0.0,0.14268731070791701,0.0055287487347692125,3.3567112936383063e-05,0.00980392156862745,0.022222222222222223,0.0,0.1054346594128981,0.006442380047835527,1.5090035552846848e-05,53.0,51.0,2.0,44.0,40.0,4.0,54.0,50.0,4.0,71.0,61.0,10.0
Mary Bailey,0.038834951456310676,0.07017543859649122,0.013166883405318585,0.24228587907334423,0.009046181055773534,0.018310235276914753,0.029411764705882353,0.06666666666666667,0.003011204481792716,0.1712694467458345,0.009219751207444605,0.004241771833881493,24.0,26.0,-2.0,27.0,30.0,-3.0,30.0,38.0,-8.0,38.0,44.0,-6.0
Mr. Bergstrom,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Ms. Albright,0.08737864077669902,0.21052631578947367,0.007520024289013438,0.25227704934441,0.02013494575669173,0.09251296299414888,0.0784313725490196,0.2,0.008138965157019905,0.2108693188257962,0.01947557308103858,0.04327730262086195,8.0,7.0,1.0,31.0,26.0,5.0,10.0,9.0,1.0,11.0,17.0,-6.0
Red Barclay,0.029126213592233007,0.05263157894736842,0.004257884383526876,0.19344564258029856,0.00903194586702953,0.001501551652869109,0.029411764705882353,0.06666666666666667,0.0229081731702582,0.15012507060437344,0.012227006312546494,0.0015528405460745287,29.0,26.0,3.0,34.0,14.0,20.0,31.0,23.0,8.0,63.0,50.0,13.0
State Comptroller Atkins,0.038834951456310676,0.07017543859649122,0.003225941254210815,0.24470873786407768,0.0072506579078548215,0.043340612949483534,0.0392156862745098,0.08888888888888889,0.006152681094439978,0.2108693188257962,0.008711465133699433,0.04989410562768454,24.0,19.0,5.0,37.0,28.0,9.0,40.0,39.0,1.0,21.0,14.0,7.0
The Be Sharps,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Tina Ballerina,0.029126213592233007,0.05263157894736842,0.0010313731258905447,0.2497027937388548,0.0062972185013825425,0.02804227199149006,0.029411764705882353,0.06666666666666667,0.0024292555305950756,0.2158603086204896,0.007669139843389451,0.028713725536731658,29.0,26.0,3.0,41.0,32.0,9.0,48.0,45.0,3.0,31.0,26.0,5.0
Tina Belcher,0.009708737864077669,0.017543859649122806,0.0,0.14268731070791701,0.0055287487347692125,3.3567112936383063e-05,0.00980392156862745,0.022222222222222223,0.0,0.1054346594128981,0.006442380047835527,1.5090035552846848e-05,53.0,51.0,2.0,44.0,40.0,4.0,54.0,50.0,4.0,71.0,61.0,10.0
Tony Bennett,0.019417475728155338,0.03508771929824561,0.01332571863696935,0.1911787014563107,0.007527100404999317,0.015367747774026582,0.0196078431372549,0.044444444444444446,0.011648223645894,0.16358920249714234,0.008425654351702883,0.0167015336051106,45.0,37.0,8.0,23.0,19.0,4.0,37.0,41.0,-4.0,41.0,30.0,11.0
Violet Bazaar,0.06796116504854369,0.24561403508771928,0.03671711403007805,0.2375812988971628,0.023357849926604585,0.17882807693399275,0.058823529411764705,0.17777777777777778,0.056521618548409466,0.21976139853531776,0.018727344875385476,0.09966773430328159,9.0,10.0,-1.0,8.0,4.0,4.0,8.0,10.0,-2.0,8.0,10.0,-2.0
Woody Allen,0.029126213592233007,0.05263157894736842,0.02646106986483914,0.22145587137020606,0.012824558837860605,0.015142843277392178,0.0196078431372549,0.044444444444444446,0.00019413706076490002,0.0196078431372549,0.020179719546046266,9.572690783128206e-16,29.0,37.0,-8.0,12.0,38.0,-26.0,16.0,8.0,8.0,43.0,63.0,-20.0
