character,degree_full,weighted_degree_full,betweenness_full,closeness_full,pagerank_full,eigenvector_full,degree_no_central,weighted_degree_no_central,betweenness_no_central,closeness_no_central,pagerank_no_central,eigenvector_no_central,degree_rank_full,degree_rank_no_central,degree_rank_change,betweenness_rank_full,betweenness_rank_no_central,betweenness_rank_change,pagerank_rank_full,pagerank_rank_no_central,pagerank_rank_change,eigenvector_rank_full,eigenvector_rank_no_central,eigenvector_rank_change
Andy Griffith,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Angelica D'Amico,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Angelo,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Anger Watkins,0.04854368932038834,0.08771929824561403,0.012274079485672855,0.2703963954299201,0.00955036624418851,0.03387327577865196,0.0392156862745098,0.08888888888888889,0.0025834096014643476,0.19613114062829431,0.01012781526892396,0.011387204850905573,15.0,19.0,-4.0,29.0,31.0,-2.0,27.0,32.0,-5.0,28.0,33.0,-5.0
Angry Mob,0.04854368932038834,0.08771929824561403,0.025066841486030517,0.2703963954299201,0.008718216866962305,0.03847741406085783,0.0392156862745098,0.08888888888888889,0.008494266793626139,0.1982630008525149,0.008458469424395008,0.02946249109864059,15.0,19.0,-4.0,14.0,25.0,-11.0,34.0,40.0,-6.0,24.0,24.0,0.0
Angstrom Charles,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Anita,0.029126213592233007,0.07017543859649122,0.0,0.2030777907585707,0.006879339293941986,0.02616744200190406,0.029411764705882353,0.08888888888888889,0.0,0.16432609079667904,0.008015236561191061,0.041113874558449844,29.0,26.0,3.0,44.0,40.0,4.0,42.0,42.0,0.0,32.0,20.0,12.0
Annette,0.04854368932038834,0.10526315789473684,0.01684278055637279,0.27495363804952544,0.01063607864624601,0.056225732035859996,0.0392156862745098,0.1111111111111111,0.00014236717789426002,0.20380107350202648,0.011003778213271507,0.03957839905826284,15.0,19.0,-4.0,19.0,39.0,-20.0,24.0,29.0,-5.0,16.0,21.0,-5.0
Annie Dubinsky,0.019417475728155338,0.03508771929824561,0.0,0.17416992018795566,0.007000709268513577,0.0006806192988216534,0.0196078431372549,0.044444444444444446,0.0,0.12079600051941307,0.009628312960498962,7.575417066720969e-05,45.0,37.0,8.0,44.0,40.0,4.0,41.0,36.0,5.0,66.0,59.0,7.0
Apu Nahasapeemapetilon Sr.,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,53.0,68.0,-15.0,44.0,40.0,4.0,65.0,68.0,-3.0,44.0,68.0,-24.0
Apu's Dog,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Archie,0.009708737864077669,0.017543859649122806,0.0,0.009708737864077669,0.012738853503182788,4.790363810056979e-19,0.00980392156862745,0.022222222222222223,0.0,0.00980392156862745,0.013812154696132594,4.710890350053316e-17,53.0,51.0,2.0,44.0,40.0,4.0,19.0,18.0,1.0,73.0,66.0,7.0
Architect,0.019417475728155338,0.03508771929824561,0.01749204536183405,0.2286997550131567,0.005300651216055081,0.017273595014029634,0.00980392156862745,0.022222222222222223,0.0,0.13028711484593838,0.005809372864308617,0.0002171411368589991,45.0,51.0,-6.0,18.0,40.0,-22.0,57.0,53.0,4.0,39.0,58.0,-19.0
Art teacher,0.04854368932038834,0.12280701754385964,0.0002728599530427058,0.20392394822006474,0.010477730930454393,0.09155203349690844,0.049019607843137254,0.15555555555555556,0.0002798809292693976,0.18240196078431373,0.012400819147267959,0.1197808956778971,15.0,13.0,2.0,43.0,37.0,6.0,25.0,21.0,4.0,12.0,8.0,4.0
